"F10.0","Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation [akuter Rausch]"
"S06.0","Gehirnerschütterung"
"K35.8","Akute Appendizitis, nicht näher bezeichnet"
"R10.4","Sonstige und nicht näher bezeichnete Bauchschmerzen"
"L05.0","Pilonidalzyste mit Abszess"
"R55","Synkope und Kollaps"
"J35.0","Chronische Tonsillitis"
"R10.3","Schmerzen mit Lokalisation in anderen Teilen des Unterbauches"
"A09.9","Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis nicht näher bezeichneten Ursprungs"
"A09.0","Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen Ursprungs"
"B27.0","Mononukleose durch Gamma-Herpesviren"
"N39.0","Harnwegsinfektion, Lokalisation nicht näher bezeichnet"
"E10.91","Diabetes mellitus, Typ 1: Ohne Komplikationen: Als entgleist bezeichnet"
"N10","Akute tubulointerstitielle Nephritis"
"S83.53","Verstauchung und Zerrung des Kniegelenkes: Riss des vorderen Kreuzbandes"
"G40.3","Generalisierte idiopathische Epilepsie und epileptische Syndrome"
"J34.2","Nasenseptumdeviation"
"C91.00","Akute lymphatische Leukämie [ALL]: Ohne Angabe einer kompletten Remission"
"G40.2","Lokalisationsbezogene (fokale) (partielle) symptomatische Epilepsie und epileptische Syndrome mit komplexen fokalen Anfällen"
"R51","Kopfschmerz"
"N83.2","Sonstige und nicht näher bezeichnete Ovarialzysten"
"R11","Übelkeit und Erbrechen"
"K35.30","Akute Appendizitis mit lokalisierter Peritonitis ohne Perforation oder Ruptur"
"R07.4","Brustschmerzen, nicht näher bezeichnet"
"S42.02","Fraktur der Klavikula: Mittleres Drittel"
"F45.41","Chronische Schmerzstörung mit somatischen und psychischen Faktoren"
"K59.09","Sonstige und nicht näher bezeichnete Obstipation"
"L05.9","Pilonidalzyste ohne Abszess"
"N44.0","Hodentorsion"
"J36","Peritonsillarabszess"
"A08.1","Akute Gastroenteritis durch Norovirus"
"G43.1","Migräne mit Aura [Klassische Migräne]"
"K50.0","Crohn-Krankheit des Dünndarmes"
"N30.0","Akute Zystitis"
"E10.11","Diabetes mellitus, Typ 1: Mit Ketoazidose: Als entgleist bezeichnet"
"I95.1","Orthostatische Hypotonie"
"R42","Schwindel und Taumel"
"S02.2","Nasenbeinfraktur"
"S05.1","Prellung des Augapfels und des Orbitagewebes"
"S20.2","Prellung des Thorax"
"S83.0","Luxation der Patella"
"F15.0","Psychische und Verhaltensstörungen durch andere Stimulanzien, einschließlich Koffein: Akute Intoxikation [akuter Rausch]"
"K29.1","Sonstige akute Gastritis"
"A04.5","Enteritis durch Campylobacter"
"G51.0","Fazialisparese"
"J45.8","Mischformen des Asthma bronchiale"
"M22.0","Habituelle Luxation der Patella"
"O48","Übertragene Schwangerschaft"
"O60.0","Vorzeitige Wehen ohne Entbindung"
"O80","Spontangeburt eines Einlings"
"R40.0","Somnolenz"
"S00.85","Oberflächliche Verletzung sonstiger Teile des Kopfes: Prellung"
"S13.4","Verstauchung und Zerrung der Halswirbelsäule"
"B86","Skabies"
"F19.0","Psychische und Verhaltensstörungen durch multiplen Substanzgebrauch und Konsum anderer psychotroper Substanzen: Akute Intoxikation [akuter Rausch]"
"F41.0","Panikstörung [episodisch paroxysmale Angst]"
"J03.9","Akute Tonsillitis, nicht näher bezeichnet"
"J06.9","Akute Infektion der oberen Atemwege, nicht näher bezeichnet"
"K50.1","Crohn-Krankheit des Dickdarmes"
"K50.82","Crohn-Krankheit der Speiseröhre und des Magen-Darm-Traktes, mehrere Teilbereiche betreffend"
"K50.9","Crohn-Krankheit, nicht näher bezeichnet"
"K51.0","Ulzeröse (chronische) Pankolitis"
"K59.01","Obstipation bei Stuhlentleerungsstörung"
"K80.00","Gallenblasenstein mit akuter Cholezystitis: Ohne Angabe einer Gallenwegsobstruktion"
"L20.8","Sonstiges atopisches [endogenes] Ekzem"
"M93.0","Epiphyseolysis capitis femoris (nichttraumatisch)"
"R06.4","Hyperventilation"
"S61.0","Offene Wunde eines oder mehrerer Finger ohne Schädigung des Nagels"
"S82.6","Fraktur des Außenknöchels"
"C40.2","Bösartige Neubildung des Knochens und des Gelenkknorpels: Lange Knochen der unteren Extremität"
"D24","Gutartige Neubildung der Brustdrüse [Mamma]"
"D56.1","Beta-Thalassämie"
"J03.8","Akute Tonsillitis durch sonstige näher bezeichnete Erreger"
"K29.5","Chronische Gastritis, nicht näher bezeichnet"
"K35.31","Akute Appendizitis mit lokalisierter Peritonitis mit Perforation oder Ruptur"
"K52.9","Nichtinfektiöse Gastroenteritis und Kolitis, nicht näher bezeichnet"
"L02.4","Hautabszess, Furunkel und Karbunkel an Extremitäten"
"O21.0","Leichte Hyperemesis gravidarum"
"O42.0","Vorzeitiger Blasensprung, Wehenbeginn innerhalb von 24 Stunden"
"O68.0","Komplikationen bei Wehen und Entbindung durch abnorme fetale Herzfrequenz"
"R07.3","Sonstige Brustschmerzen"
"R10.1","Schmerzen im Bereich des Oberbauches"
"T23.20","Verbrennung Grad 2a des Handgelenkes und der Hand"
"C81.1","Nodulär-sklerosierendes (klassisches) Hodgkin-Lymphom"
"C92.00","Akute myeloblastische Leukämie [AML]: Ohne Angabe einer kompletten Remission"
"G40.4","Sonstige generalisierte Epilepsie und epileptische Syndrome"
"G40.8","Sonstige Epilepsien"
"I47.1","Supraventrikuläre Tachykardie"
"K29.7","Gastritis, nicht näher bezeichnet"
"K52.8","Sonstige näher bezeichnete nichtinfektiöse Gastroenteritis und Kolitis"
"K80.20","Gallenblasenstein ohne Cholezystitis: Ohne Angabe einer Gallenwegsobstruktion"
"M08.3","Juvenile chronische Arthritis (seronegativ), polyartikuläre Form"
"O36.5","Betreuung der Mutter wegen fetaler Wachstumsretardierung"
"R56.8","Sonstige und nicht näher bezeichnete Krämpfe"
"S30.0","Prellung der Lumbosakralgegend und des Beckens"
"S52.51","Distale Fraktur des Radius: Extensionsfraktur"
"S92.3","Fraktur der Mittelfußknochen"
"Z51.6","Desensibilisierung gegenüber Allergenen"
"A41.9","Sepsis, nicht näher bezeichnet"
"B34.9","Virusinfektion, nicht näher bezeichnet"
"B99","Sonstige und nicht näher bezeichnete Infektionskrankheiten"
"C40.0","Bösartige Neubildung des Knochens und des Gelenkknorpels: Skapula und lange Knochen der oberen Extremität"
"C62.1","Bösartige Neubildung: Deszendierter Hoden"
"D33.0","Gutartige Neubildung: Gehirn, supratentoriell"
"F43.1","Posttraumatische Belastungsstörung"
